Title,Publication year,Author,Category,Description,Source Type,Language,Image,Quantity
Titanic,2011,Tim Vicary,"<QuerySet [<Category: Triết học>, <Category: Ngôn ngữ>]>",The book was the most famous ship in history. But what really happened to it on that terrible April night in the North Atlantic? Why did it hit an iceberg? Why did it sink? Why did more than one thousand people died? This book looks at the true story and gives some of the answers,Sách giấy,Tiếng Anh,images/titan.jpg,3
Sapiens: Lược sử loài người,2018,Yval Noah Harari,<QuerySet [<Category: Sử - Địa>]>,"Cuốn sách nói bao quát về lịch sử tiến hóa của loài người từ thời cổ xưa trong thời kỳ đồ đá cho đến thế kỷ XXI, tập trung vào loài Homo sapiens.",Sách giấy,Tiếng Việt,images/sapie.jpg,100
Sáu chiếc nón tư duy,2018,Edward De Bono,<QuerySet [<Category: Triết học>]>,6 chiếc mũ tư duy là một công cụ trợ giúp tư duy được TS. Edward de Bono phát kiến năm 1980 và giới thiệu trong cuốn “6 Thinking Hats”,Sách giấy,Tiếng Việt,images/sauch.jpg,4
Lối sống tối giản của người Nhật,2018,Sasaki Fumio,<QuerySet [<Category: Kỹ thuật>]>,"Cuốn sách Lối sống tối giản của người Nhật có tựa đề tiếng Anh là “Goodbye, Things” (Tạm biệt đồ đạc) của tác giả Fumio Sasaki sẽ giúp chúng ta hiểu hơn về lối sống tối giản là gì, làm cách nào ngưng mưa sắm, tối giản không chỉ đồ đạc mà còn nhiều khía cạnh khác của cuộc sống.",Sách giấy,Tiếng Việt,images/loiso.jpg,3
Đến Nhật Bản học về cuộc đời,2016,Lê Nguyễn Nhật Linh,<QuerySet [<Category: Văn học>]>,"Đến Nhật Bản học về cuộc đời là một quyển sách kì lạ. Vì trước khi là một quyển sách vạn bản, đó là quyển nhật ký 368 ngày sống ở Nhật của một cô gái nhỏ.",Sách giấy,Tiếng Việt,images/dennh.jpg,2
