"Tổng hợp";"Tài liệu tổng hợp bao gồm: Tin học - CNTT, Thư viện và Khoa học thông tin";"E:/Ki 3 năm 2/Intro2SE-21CLC10-Group09/src/Data/images/TH.jpg"
"Triết học";"Triết học và Tâm lý học";"E:/Ki 3 năm 2/Intro2SE-21CLC10-Group09/src/Data/images/TL.jpg"
"Tôn giáo";"Tôn giáo";"E:/Ki 3 năm 2/Intro2SE-21CLC10-Group09/src/Data/images/TG.jpg"
"Xã hội";"Khoa học xã hội bao gồm: Thống kê tổng hợp, khoa học chính trị, kinh tế học, luật học, hành chánh công, dịch vụ xã hội, hội đoàn, giáo dục,…";"E:/Ki 3 năm 2/Intro2SE-21CLC10-Group09/src/Data/images/XH.jpg"
"Ngôn ngữ";"Ngôn ngữ bao gồm: Ngôn ngữ học, tiếng Anh, tiếng Đức, tiếng Pháp, tiếng Ý và một số ngôn ngữ khác. ";"E:/Ki 3 năm 2/Intro2SE-21CLC10-Group09/src/Data/images/NN.jpg"
"Tự nhiên";"Khoa học tự nhiên bao gồm: Toán học, thiên văn học, vật lý học, hóa học, khoa học trái đất, cổ sinh học, khoa học đời sống, thực vật học, động vật học. ";"E:/Ki 3 năm 2/Intro2SE-21CLC10-Group09/src/Data/images/TN.jpg"
"Kỹ thuật";"Kỹ thuật (Khoa học ứng dụng) bao gồm: Y học, kỹ thuật, nông nghiệp, kinh tế gia đình, quản trị, công nghệ hóa học,…";"E:/Ki 3 năm 2/Intro2SE-21CLC10-Group09/src/Data/images/KT.jpg"
"Nghệ thuật";"Nghệ thuật";"E:/Ki 3 năm 2/Intro2SE-21CLC10-Group09/src/Data/images/NT.jpg"
"Văn học";"Văn học và Tu từ học";"E:/Ki 3 năm 2/Intro2SE-21CLC10-Group09/src/Data/images/VH.jpg"
"Sử - Địa";"Lịch sử và Địa lý";"E:/Ki 3 năm 2/Intro2SE-21CLC10-Group09/src/Data/images/SD.jpg"
