"Titanic";"Tim Vicary";"2011";"428.24 Tit";"Ngôn ngữ,Triết học";"Sách giấy";"Tiếng Anh";"The book was the most famous ship in history. But what really happened to it on that terrible April night in the North Atlantic? Why did it hit an iceberg? Why did it sink? Why did more than one thousand people died? This book looks at the true story and gives some of the answers";"titan.jpg";3
"Sapiens: Lược sử loài người";"Yval Noah Harari";"2018";"909 Sap";"Sử - Địa";"Sách giấy";"Tiếng Việt";"Cuốn sách nói bao quát về lịch sử tiến hóa của loài người từ thời cổ xưa trong thời kỳ đồ đá cho đến thế kỷ XXI, tập trung vào loài Homo sapiens.";"sapie.jpg";100
"Sáu chiếc nón tư duy";"Edward De Bono";"2018";"153.42 Sau";"Triết học";"Sách giấy";"Tiếng Việt";"6 chiếc mũ tư duy là một công cụ trợ giúp tư duy được TS. Edward de Bono phát kiến năm 1980 và giới thiệu trong cuốn “6 Thinking Hats”";"sauch.jpg";4
"Lối sống tối giản của người Nhật";"Sasaki Fumio";"2018";"640.73 Loi";"Kỹ thuật";"Sách giấy";"Tiếng Việt";"Cuốn sách Lối sống tối giản của người Nhật có tựa đề tiếng Anh là “Goodbye, Things” (Tạm biệt đồ đạc) của tác giả Fumio Sasaki sẽ giúp chúng ta hiểu hơn về lối sống tối giản là gì, làm cách nào ngưng mưa sắm, tối giản không chỉ đồ đạc mà còn nhiều khía cạnh khác của cuộc sống.";"loiso.jpg";3
"Đến Nhật Bản học về cuộc đời";"Lê Nguyễn Nhật Linh";"2016";"895.9228 Den";"Văn học";"Sách giấy";"Tiếng Việt";"Đến Nhật Bản học về cuộc đời là một quyển sách kì lạ. Vì trước khi là một quyển sách vạn bản, đó là quyển nhật ký 368 ngày sống ở Nhật của một cô gái nhỏ.";"dennh.jpg";2
