"Luận án/Luận văn";"LA";"Luận văn là một văn bản nghiên cứu về một chủ đề nào đó và cấu trúc nào đó. Luận văn sẽ được làm vào cuối khóa học để trình bày những kết quả nghiên cứu về chủ đề đã chọn. Sau khi bảo vệ xong thì bạn sẽ kết thúc khoa học và tốt nghiệp. Cấu trúc luận văn sẽ do từng trường ra quy định. Trong tiếng anh sẽ tương đương với Thesis/Dissertation. "
"Sách giấy";"PB";"Sách chứa đựng nhiều giá trị văn hóa tinh thần (các tác phẩm sáng tác hoặc tài liệu biên soạn) thuộc các hình thái ý thức xã hội và nghệ thuật khác nhau, được ghi lại dưới các dạng ngôn ngữ khác nhau (chữ viết, hình ảnh, âm thanh, ký hiệu,...) của các dân tộc khác nhau nhằm để lưu trữ, tích lũy, truyền bá trong xã hội."
"Tạp chí";"TC";"Tập san khoa học (nay thường gọi là tạp chí khoa học), là một ấn phẩm định kỳ nhằm tiếp tục tiến bộ của khoa học, thường là bằng cách báo cáo nghiên cứu mới."
"Báo cáo khoa học";"BC";"Báo cáo khoa học là một tác phẩm để tường trình công việc nghiên cứu đã làm và công bố những kết quả đã đạt được."
"Tài liệu hội nghị";"HN";"Tài liệu hội nghị là một bộ tài liệu được chuẩn bị và sử dụng trong một hội nghị, hội thảo hoặc sự kiện tương tự. Tài liệu này bao gồm thông tin về chủ đề của hội nghị, lịch trình của các buổi diễn thuyết hoặc các sự kiện khác, thông tin về các diễn giả và nội dung của bài thuyết trình, tóm tắt các chủ đề quan trọng, tài liệu tham khảo và thông tin hỗ trợ khác."
"Ebook";"EB";"Ebook là một loại sách điện tử, có công dụng truyền tải thông tin dưới dạng văn bản đến người đọc tương tự sách truyền thống nhưng khác ở chỗ người dùng sẽ đọc chúng trên các thiết bị điện tử có hỗ trợ màn hình. Các tài nguyên của Thư viện đang có xu hướng số hóa để có thể tiếp cận độc giả một cách thuận tiện nhất. "
